kelly_proportion,stack
0.25,1000
0.75,970
0.6,980
0.4,1050
0.3,1000
0.75,1000
0.8,1000
0.7,1000
0.6,1000
0.75,960
0.15,980
0.4,1160
0.75,980
0.65,940
0.15,1000
0.5,980
0.25,940
0.75,990
0.3,1090
0.6,1000
0.9,1000
0.75,1000
1.0,980
0.95,1000
0.05,1000
0.45,990
1.0,980
0.1,1000
0.15,1000
0.65,1000
0.8,1030
0.85,1000
0.2,1000
0.5,990
0.65,900
0.6,1000
0.6,1000
0.15,980
0.65,1130
0.85,1000
0.55,980
0.75,990
0.05,980
0.1,1000
0.4,1000
0.45,1000
0.9,1000
0.1,1050
0.1,1000
0.05,990
0.3,1010
0.95,1000
0.25,1000
0.7,1000
0.9,1000
0.1,1000
0.55,1000
0.2,990
1.0,1050
0.15,1000
0.4,1000
1.0,1000
0.8,1000
0.45,960
0.9,1000
0.35,990
0.95,980
0.45,1000
0.55,1000
0.95,1000
0.75,1000
0.7,1030
0.45,1000
1.0,1140
0.1,980
1.0,880
0.45,1000
0.55,1000
0.3,1000
0.05,1000
0.2,1000
0.65,990
0.25,980
0.65,980
0.55,1000
0.65,1000
0.4,1050
0.2,1000
0.6,1000
0.55,990
0.05,980
0.7,1000
0.95,1030
0.6,1000
0.9,1000
0.25,1000
0.95,1070
0.8,990
0.95,980
0.35,1000
0.8,1000
0.85,1000
0.6,1000
0.95,960
0.1,1000
0.35,1020
0.05,980
0.1,1000
0.15,1000
0.3,1000
0.9,1000
0.15,1000
0.8,980
0.6,990
0.15,980
0.8,1000
0.15,1000
0.05,1000
0.5,1000
0.3,1050
0.95,1000
0.2,990
0.6,1030
0.05,1000
0.4,1000
0.5,1000
0.65,1000
0.6,980
0.45,1090
0.95,990
0.05,980
0.2,1000
0.1,1000
0.95,1000
0.7,940
0.25,1000
0.8,1000
1.0,990
0.85,980
0.7,1050
0.2,1000
0.75,980
0.15,1000
0.2,1000
0.9,1000
0.75,990
1.0,1050
0.1,1000
0.65,1000
0.3,980
0.85,1000
0.5,980
0.85,1000
0.05,990
0.15,1050
0.5,980
0.1,1000
0.3,1000
0.55,980
0.4,1000
0.35,1000
0.6,1040
0.45,980
0.85,1000
0.3,1000
0.1,980
0.1,1000
0.25,1000
0.2,1000
0.1,990
0.25,980
0.8,1000
0.9,1000
0.85,1000
0.2,1000
0.45,1030
0.85,1000
0.05,990
0.7,980
0.6,940
0.15,1000
0.65,1000
0.15,1000
0.8,1090
0.55,1000
0.55,990
0.8,1050
0.15,980
0.55,1000
0.35,980
0.65,1000
0.15,1000
0.05,1000
0.3,990
0.6,1050
0.5,980
0.95,980
0.1,1000
0.9,1000
0.2,1000
0.15,1000
0.95,990
0.45,960
0.35,1150
0.05,1000
0.2,1000
0.6,900
0.25,1000
0.25,1000
0.95,1040
0.6,980
0.2,1000
0.2,1000
0.5,1000
0.4,1000
0.25,980
0.95,980
0.15,920
0.5,980
0.55,1000
0.15,1000
0.85,1000
0.4,1000
0.2,1120
0.45,1000
0.25,990
0.2,1010
0.85,1000
0.4,1000
0.05,1000
0.2,1000
