game_id,file,button_seat,small_blind_position,small_blind_amount,big_blind_amount,username,position,card_1,card_2,action,round_bet,round,stack_before_action,pot_before_action,max_bet_before_action,player_bet_before_action,flop_1,flop_2,flop_3,turn,river
718894932,data/File196.txt,4,4,2.0,4.0,IlxxxlI,5,As,6d,raise,76.0,0,76.0,12.0,8.0,4.0,,,,,
718895155,data/File196.txt,5,5,2.0,4.0,IlxxxlI,5,8c,8s,raise,86.0,0,86.0,6.0,4.0,2.0,,,,,
718928069,data/File196.txt,3,5,2.0,4.0,IlxxxlI,6,8s,4d,fold,0.0,0,76.0,14.0,8.0,4.0,,,,,
718928859,data/File196.txt,5,6,2.0,4.0,IlxxxlI,6,2h,4h,fold,0.0,0,78.0,14.0,8.0,2.0,9h,10d,2c,5d,4c
718930029,data/File196.txt,6,7,2.0,4.0,IlxxxlI,6,Js,Kc,fold,0.0,0,80.0,10.0,4.0,0.0,3c,4h,5s,Ah,8s
718931171,data/File196.txt,7,8,2.0,4.0,IlxxxlI,6,6c,8h,fold,0.0,0,80.0,6.0,4.0,0.0,10s,Ac,Ad,4s,2c
718932220,data/File196.txt,8,1,2.0,4.0,IlxxxlI,6,Ac,10c,raise,8.0,0,80.0,6.0,4.0,0.0,,,,,
718932220,data/File196.txt,8,1,2.0,4.0,IlxxxlI,6,Ac,10c,fold,0.0,0,72.0,54.0,36.0,8.0,,,,,
718932964,data/File196.txt,1,2,2.0,4.0,IlxxxlI,6,9c,Ad,fold,0.0,0,80.0,6.0,4.0,0.0,3d,Js,9s,Jh,Ks
718933960,data/File196.txt,2,3,2.0,4.0,IlxxxlI,6,4c,5h,fold,0.0,0,80.0,18.0,12.0,0.0,3d,Qs,2s,Ks,6s
718934873,data/File196.txt,3,4,2.0,4.0,IlxxxlI,6,7d,5d,call,6.0,0,76.0,16.0,10.0,4.0,9s,9c,Qd,5h,Kc
718934873,data/File196.txt,3,4,2.0,4.0,IlxxxlI,6,7d,5d,check,0.0,0,70.0,22.0,10.0,10.0,9s,9c,Qd,5h,Kc
718934873,data/File196.txt,3,4,2.0,4.0,IlxxxlI,6,7d,5d,raise,4.0,0,70.0,22.0,10.0,10.0,9s,9c,Qd,5h,Kc
718934873,data/File196.txt,3,4,2.0,4.0,IlxxxlI,6,7d,5d,check,0.0,0,66.0,30.0,14.0,14.0,9s,9c,Qd,5h,Kc
718934873,data/File196.txt,3,4,2.0,4.0,IlxxxlI,6,7d,5d,fold,0.0,0,66.0,46.0,30.0,14.0,9s,9c,Qd,5h,Kc
718935766,data/File196.txt,4,6,2.0,4.0,IlxxxlI,6,4h,9c,fold,0.0,0,78.0,14.0,4.0,2.0,7d,2h,Kc,3h,Kh
718937251,data/File196.txt,6,7,2.0,4.0,IlxxxlI,6,8c,Qh,fold,0.0,0,80.0,10.0,4.0,0.0,6d,7c,Kc,9c,
718938495,data/File196.txt,7,8,2.0,4.0,IlxxxlI,6,Qc,2s,fold,0.0,0,80.0,18.0,12.0,0.0,,,,,
718939179,data/File196.txt,8,9,2.0,4.0,IlxxxlI,6,6h,Jh,fold,0.0,0,80.0,6.0,4.0,0.0,4s,10d,9h,,
718939936,data/File196.txt,9,1,2.0,4.0,IlxxxlI,6,4s,Ah,fold,0.0,0,80.0,6.0,4.0,0.0,Kh,Ks,7c,,
718940811,data/File196.txt,1,2,2.0,4.0,IlxxxlI,6,3h,7s,fold,0.0,0,80.0,6.0,4.0,0.0,2d,10s,Ah,8c,
718941647,data/File196.txt,2,3,2.0,4.0,IlxxxlI,6,Jh,Ah,raise,8.0,0,80.0,6.0,4.0,0.0,5d,As,3d,5s,7c
718941647,data/File196.txt,2,3,2.0,4.0,IlxxxlI,6,Jh,Ah,check,0.0,0,72.0,22.0,8.0,8.0,5d,As,3d,5s,7c
718941647,data/File196.txt,2,3,2.0,4.0,IlxxxlI,6,Jh,Ah,raise,7.26,0,72.0,22.0,8.0,8.0,5d,As,3d,5s,7c
718941647,data/File196.txt,2,3,2.0,4.0,IlxxxlI,6,Jh,Ah,raise,4.0,0,64.74,36.519999999999996,15.26,15.26,5d,As,3d,5s,7c
718941647,data/File196.txt,2,3,2.0,4.0,IlxxxlI,6,Jh,Ah,fold,0.0,0,60.739999999999995,105.52,80.26,19.259999999999998,5d,As,3d,5s,7c
718942871,data/File196.txt,3,4,2.0,4.0,IlxxxlI,6,Jd,3s,fold,0.0,0,80.0,6.0,4.0,0.0,2h,6d,7h,Js,
718943964,data/File196.txt,4,5,2.0,4.0,IlxxxlI,6,2d,8d,check,0.0,0,76.0,14.0,4.0,4.0,Jd,8s,6h,9h,
718943964,data/File196.txt,4,5,2.0,4.0,IlxxxlI,6,2d,8d,check,0.0,0,76.0,14.0,4.0,4.0,Jd,8s,6h,9h,
718943964,data/File196.txt,4,5,2.0,4.0,IlxxxlI,6,2d,8d,call,8.0,0,76.0,22.0,12.0,4.0,Jd,8s,6h,9h,
718943964,data/File196.txt,4,5,2.0,4.0,IlxxxlI,6,2d,8d,check,0.0,0,68.0,30.0,12.0,12.0,Jd,8s,6h,9h,
718943964,data/File196.txt,4,5,2.0,4.0,IlxxxlI,6,2d,8d,fold,0.0,0,68.0,41.0,23.0,12.0,Jd,8s,6h,9h,
718945298,data/File196.txt,5,6,2.0,4.0,IlxxxlI,6,9c,3d,fold,0.0,0,78.0,18.0,12.0,2.0,8d,Ac,9h,2s,2d
718946507,data/File196.txt,6,7,2.0,4.0,IlxxxlI,6,5s,8s,fold,0.0,0,80.0,10.0,4.0,0.0,7c,3s,Qs,,
718947607,data/File196.txt,7,8,2.0,4.0,IlxxxlI,6,7d,5d,fold,0.0,0,80.0,6.0,4.0,0.0,Qc,Qh,Ad,,
718948359,data/File196.txt,8,9,2.0,4.0,IlxxxlI,6,7s,Qd,fold,0.0,0,80.0,6.0,4.0,0.0,5d,Ad,Qh,,
718949125,data/File196.txt,9,1,2.0,4.0,IlxxxlI,6,5d,Qc,fold,0.0,0,80.0,6.0,4.0,0.0,Qh,7d,Jd,Qd,9s
718950035,data/File196.txt,1,2,2.0,4.0,IlxxxlI,6,Ah,3h,fold,0.0,0,80.0,6.0,4.0,0.0,8s,Jd,9c,4s,7c
718951407,data/File196.txt,2,3,2.0,4.0,IlxxxlI,6,6h,10d,fold,0.0,0,80.0,6.0,4.0,0.0,2c,Jc,8d,4h,3c
718952206,data/File196.txt,3,5,2.0,4.0,IlxxxlI,6,5h,7c,fold,0.0,0,76.0,22.4,12.4,4.0,5d,10h,7d,Ah,
718953501,data/File196.txt,5,6,2.0,4.0,IlxxxlI,6,Kh,Kd,raise,35.0,0,78.0,30.0,12.0,2.0,,,,,
718954211,data/File196.txt,6,7,2.0,4.0,IlxxxlI,6,4s,2d,fold,0.0,0,108.0,32.400000000000006,8.8,0.0,5c,3h,Kc,As,6c
718956007,data/File196.txt,7,8,2.0,4.0,IlxxxlI,6,Qs,7d,fold,0.0,0,108.0,6.0,4.0,0.0,5c,2s,As,,
718956502,data/File196.txt,8,9,2.0,4.0,IlxxxlI,6,Ad,3d,raise,8.0,0,108.0,6.0,4.0,0.0,5d,Qh,As,5c,10s
718956502,data/File196.txt,8,9,2.0,4.0,IlxxxlI,6,Ad,3d,raise,4.0,0,100.0,22.0,8.0,8.0,5d,Qh,As,5c,10s
