wins_1,losses_1,ties_1,wins_2,losses_2,ties_2
1874,100,6,3801632,584416,41232
1818,116,46,3498000,631608,297672
1340,628,12,1916224,2468048,43008
1666,142,172,3045312,685270,696698
0,984,996,0,3413538,1013742
482,1480,18,226648,4181316,19316
1436,532,12,2201320,2179376,46584
1332,496,152,1786656,2104112,536512
976,1002,2,982784,3435168,9328
856,1112,12,729152,3671312,26816
1378,590,12,2044136,2338784,44360
840,978,162,682080,3427776,317424
288,1578,114,78336,4266480,82464
1112,728,140,1207680,2812000,407600
1502,466,12,2435008,1943680,48592
896,1076,8,824400,3585180,17700
1542,376,62,2525376,1559424,342480
1104,848,28,1275696,3070616,80968
1906,66,8,4042728,338168,46384
1258,710,12,1637984,2748936,40360
288,1602,90,78336,4285824,63120
288,1602,90,78336,4285824,63120
516,1462,2,269442,4153476,4362
0,648,1332,0,2562480,1864800
176,1786,18,31168,4389008,7104
1914,58,8,4044344,336328,46608
1910,70,0,4021492,405788,0
80,1834,66,5760,4406256,15264
820,1148,12,653904,3747440,25936
1822,142,16,3709412,646446,71422
280,1682,18,76064,4339648,11568
1274,694,12,1688528,2697896,40856
288,1626,66,78336,4304016,44928
1532,388,60,2406032,1788552,232696
594,1346,40,336312,4038046,52922
0,1722,258,0,4361232,66048
1392,576,12,2046504,2335792,44984
1548,316,116,2484896,1465280,477104
768,1194,18,584832,3811056,31392
1474,494,12,2356112,2023536,47632
1376,464,140,1923912,1996576,506792
840,954,186,682080,3376656,368544
1690,116,174,3193088,517712,716480
1720,258,2,3242800,1167568,16912
1722,246,12,3219728,1151592,55960
24,1914,42,480,4423056,3744
1648,320,12,2964032,1409808,53440
872,1080,28,800328,3562992,63960
1568,356,56,2564864,1630624,231792
984,916,80,960282,3283362,183636
440,1402,138,184800,4094352,148128
1434,518,28,2035024,2289624,102632
1980,0,0,4342140,11352,73788
0,1734,246,0,4367880,59400
1640,340,0,2878200,1491360,57720
0,1194,786,0,3811056,616224
80,1834,66,5760,4406256,15264
1508,340,132,2352326,1556910,518044
1750,218,12,3269520,1101384,56376
1486,492,2,2378052,2036056,13172
1962,14,4,4296888,99024,31368
960,976,44,935368,3382672,109240
264,1698,18,65472,4350720,11088
200,1738,42,37600,4369648,20032
582,1360,38,326196,4050734,50350
440,1450,90,184800,4149744,92736
168,1794,18,26208,4394016,7056
1088,752,140,1148928,2880000,398352
720,1242,18,510080,3887632,29568
1174,794,12,1445392,2944528,37360
390,1582,8,148680,4271112,7488
1046,874,60,1172976,3088712,165592
798,1074,108,614676,3592122,220482
0,1598,382,0,4283320,143960
152,1810,18,23104,4397984,6192
80,1834,66,5760,4406256,15264
952,1016,12,926464,3470992,29824
1656,154,170,2775848,899368,752064
238,1638,104,53860,4309468,63952
1690,278,12,3081648,1290488,55144
720,1242,18,510080,3887632,29568
0,1578,402,0,4266480,160800
1892,88,0,3964170,463110,0
1616,352,12,2797346,1579356,50578
1626,352,2,2869608,1541844,15828
410,1444,126,160750,4139688,126842
288,1674,18,78336,4336944,12000
840,1002,138,682080,3477744,267456
1242,726,12,1627636,2760826,38818
0,658,1322,0,2674032,1753248
928,1034,18,851840,3537328,38112
1964,12,4,4301136,94704,31440
1752,216,12,3293632,1077264,56384
1666,132,182,3045312,645406,736562
162,1756,62,23976,4378476,24828
1972,8,0,4364112,55632,7536
624,1194,162,378304,3805904,243072
1388,468,124,1961784,2014832,450664
1592,388,0,2616120,1750584,60576
1308,552,120,1729496,2284552,413232
996,972,12,1027596,3368180,31504
42,1906,32,1512,4421952,3816
1160,808,12,1377920,3012880,36480
0,1198,782,0,3786960,640320
696,1266,18,474432,3924192,28656
1332,528,120,1786656,2220848,419776
0,682,1298,0,2739880,1687400
918,970,92,859360,3351220,216700
0,1914,66,0,4422792,4488
786,1182,12,616224,3786096,24960
640,1324,16,405268,3998240,23772
1548,420,12,2509894,1869160,48226
688,1274,18,466944,3932112,28224
666,1152,162,436440,3731928,258912
1464,504,12,2300216,2079552,47512
1980,0,0,4086720,30272,310288
1350,630,0,1878012,2501944,47324
1026,910,44,1050624,3260800,115856
624,1266,90,374400,3924192,128688
1824,148,8,3635616,747576,44088
1298,546,136,1682208,2280384,464688
410,1444,126,160750,4139688,126842
568,1370,42,308832,4064688,53760
204,1758,18,40014,4379082,8184
1404,564,12,1977850,2406368,43062
1120,858,2,1393600,3022800,10880
1456,432,92,2239528,1835792,351960
1402,566,12,2079408,2302384,45488
1704,108,168,2960296,710296,756688
0,1962,18,0,4427004,276
1132,740,108,1339964,2771340,315976
538,1430,12,298920,4111932,16428
0,942,1038,0,3348816,1078464
1482,438,60,2193360,2006616,227304
776,1096,108,583136,3624096,220048
972,948,60,961528,3314432,151320
1950,26,4,4210632,185472,31176
904,1064,12,851744,3547056,28480
1890,2,88,3795792,27168,604320
1426,542,12,2153200,2227920,46160
0,1578,402,0,4266480,160800
784,1070,126,594958,3602764,229558
1246,658,76,1611536,2568760,246984
536,1426,18,282720,4122624,21936
982,942,56,977304,3321672,128304
1088,682,210,1153280,2739880,534120
530,1346,104,269230,4028644,129406
1252,726,2,1615280,2799960,12040
1370,490,120,1899936,2095312,432032
1184,788,8,1448472,2955312,23496
616,1346,18,368992,4032800,25488
1060,710,210,1136568,2760664,530048
1034,870,76,1055496,3169632,202152
0,1402,578,0,4092040,335240
1666,140,174,3032768,695520,698992
56,1882,42,2688,4417872,6720
80,1834,66,5760,4406256,15264
530,1418,32,280692,4106712,39876
654,1218,108,418888,3820144,188248
1688,280,12,3099008,1273440,54832
1270,698,12,1702078,2685560,39642
1716,180,84,3000504,912384,514392
864,1098,18,725376,3666096,35808
1032,808,140,1026816,3031200,369264
1074,894,12,1191904,3201152,34224
1238,638,104,1525962,2572646,328672
812,1076,92,646160,3586608,194512
