2024-09-15 00:16:30: Training starting...
2024-09-15 00:16:31: New best reward 11.0 (+nan%) at episode 0, saving model...
2024-09-15 00:16:31: New best reward 22.0 (+100.0%) at episode 1, saving model...
2024-09-15 00:16:31: New best reward 37.0 (+68.2%) at episode 4, saving model...
2024-09-15 00:16:31: New best reward 51.0 (+37.8%) at episode 30, saving model...
2024-09-15 00:16:31: New best reward 75.0 (+47.1%) at episode 32, saving model...
2024-09-15 00:16:32: New best reward 84.0 (+12.0%) at episode 214, saving model...
2024-09-15 00:16:33: New best reward 93.0 (+10.7%) at episode 461, saving model...
2024-09-15 00:16:43: New best reward 95.0 (+2.2%) at episode 1998, saving model...
2024-09-15 00:16:47: New best reward 109.0 (+14.7%) at episode 2613, saving model...
2024-09-15 00:16:48: New best reward 124.0 (+13.8%) at episode 2632, saving model...
2024-09-15 00:16:53: New best reward 136.0 (+9.7%) at episode 3168, saving model...
2024-09-15 00:16:55: New best reward 146.0 (+7.4%) at episode 3295, saving model...
2024-09-15 00:17:14: New best reward 156.0 (+6.8%) at episode 4766, saving model...
2024-09-15 00:17:23: New best reward 174.0 (+11.5%) at episode 5270, saving model...
2024-09-15 00:17:24: New best reward 212.0 (+21.8%) at episode 5321, saving model...
2024-09-15 00:17:33: New best reward 265.0 (+25.0%) at episode 5833, saving model...
2024-09-15 00:17:49: New best reward 278.0 (+4.9%) at episode 6536, saving model...
2024-09-15 00:17:50: New best reward 362.0 (+30.2%) at episode 6567, saving model...
2024-09-15 00:18:20: New best reward 364.0 (+0.6%) at episode 7508, saving model...
2024-09-15 00:18:31: New best reward 417.0 (+14.6%) at episode 7796, saving model...
2024-09-15 00:19:47: New best reward 434.0 (+4.1%) at episode 9562, saving model...
2024-09-15 00:20:28: New best reward 476.0 (+9.7%) at episode 10427, saving model...
2024-09-15 00:23:46: New best reward 575.0 (+20.8%) at episode 13534, saving model...
2024-09-15 00:27:29: New best reward 578.0 (+0.5%) at episode 14932, saving model...
2024-09-15 00:28:23: New best reward 770.0 (+33.2%) at episode 15256, saving model...
2024-09-15 00:28:49: New best reward 1296.0 (+68.3%) at episode 15364, saving model...
2024-09-15 00:28:54: New best reward 4594.0 (+254.5%) at episode 15369, saving model...
