2024-09-19 08:11:13: Training starting...
2024-09-19 08:11:14: New best reward -5.7 (+nan%) at episode 0, saving model...
2024-09-19 08:11:14: New best reward -5.1 (-10.5%) at episode 17, saving model...
2024-09-19 08:11:15: New best reward -4.5 (-11.8%) at episode 44, saving model...
2024-09-19 08:11:17: New best reward -3.9 (-13.3%) at episode 258, saving model...
2024-09-19 08:11:17: New best reward -2.1 (-46.2%) at episode 313, saving model...
2024-09-19 08:11:21: New best reward -0.9 (-57.1%) at episode 665, saving model...
2024-09-19 08:11:23: New best reward 1.5 (-266.7%) at episode 769, saving model...
2024-09-19 08:11:36: New best reward 2.1 (+40.0%) at episode 1728, saving model...
2024-09-19 08:11:45: New best reward 3.9 (+85.7%) at episode 2380, saving model...
2024-09-19 08:12:20: New best reward 4.5 (+15.4%) at episode 4901, saving model...
2024-09-19 08:12:21: New best reward 5.0 (+11.1%) at episode 4980, saving model...
2024-09-19 08:12:29: New best reward 6.3 (+26.0%) at episode 5554, saving model...
2024-09-19 08:13:03: New best reward 6.4 (+1.6%) at episode 7821, saving model...
2024-09-19 08:13:35: New best reward 6.6 (+3.1%) at episode 9912, saving model...
2024-09-19 08:13:42: New best reward 8.4 (+27.3%) at episode 10343, saving model...
2024-09-19 08:14:20: New best reward 8.8 (+4.8%) at episode 12750, saving model...
2024-09-19 08:15:09: New best reward 11.3 (+28.4%) at episode 15711, saving model...
2024-09-19 08:47:02: New best reward 12.9 (+14.2%) at episode 117134, saving model...
2024-09-19 08:47:21: New best reward 15.8 (+22.5%) at episode 117964, saving model...
2024-09-19 08:47:23: New best reward 17.9 (+13.3%) at episode 118068, saving model...
2024-09-19 08:48:34: New best reward 22.4 (+25.1%) at episode 121123, saving model...
2024-09-19 08:48:49: New best reward 26.9 (+20.1%) at episode 121706, saving model...
2024-09-19 08:53:42: New best reward 37.2 (+38.3%) at episode 133143, saving model...
2024-09-19 08:57:30: New best reward 46.2 (+24.2%) at episode 141459, saving model...
2024-09-19 09:03:26: New best reward 47.0 (+1.7%) at episode 153573, saving model...
2024-09-19 09:09:10: New best reward 67.3 (+43.2%) at episode 164050, saving model...
2024-09-19 13:01:07: New best reward 71.7 (+6.5%) at episode 496946, saving model...
2024-09-19 13:34:42: New best reward 85.4 (+19.1%) at episode 534823, saving model...
